oid,name,price,iv,iv_buy,iv_sell,delta,theta,vega,gamma,rho,url,strike_price,underlying_last_price,strike_date
1281668,abb2u190,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1281668/abb2u190,190.0,31990.0,2022-09-16
1274496,abb2u210,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274496/abb2u210,210.0,31990.0,2022-09-16
1274497,abb2u230,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274497/abb2u230,230.0,31990.0,2022-09-16
1274498,abb2u250,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274498/abb2u250,250.0,31990.0,2022-09-16
1365274,abb2u260,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365274/abb2u260,260.0,31990.0,2022-09-16
1274499,abb2u270,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274499/abb2u270,270.0,31990.0,2022-09-16
1365275,abb2u280,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365275/abb2u280,280.0,31990.0,2022-09-16
1274500,abb2u290,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274500/abb2u290,290.0,31990.0,2022-09-16
1365276,abb2u300,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365276/abb2u300,300.0,31990.0,2022-09-16
1274501,abb2u310,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274501/abb2u310,310.0,31990.0,2022-09-16
1365277,abb2u330,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365277/abb2u330,330.0,31990.0,2022-09-16
1274502,abb2u350,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274502/abb2u350,350.0,31990.0,2022-09-16
1365278,abb2u370,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365278/abb2u370,370.0,31990.0,2022-09-16
1274503,abb2u390,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274503/abb2u390,390.0,31990.0,2022-09-16
1365279,abb2u410,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1365279/abb2u410,410.0,31990.0,2022-09-16
1274504,abb2u430,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274504/abb2u430,430.0,31990.0,2022-09-16
1274505,abb2u470,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274505/abb2u470,470.0,31990.0,2022-09-16
1274506,abb2u510,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1274506/abb2u510,510.0,31990.0,2022-09-16
1314350,abb2u570,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1314350/abb2u570,570.0,31990.0,2022-09-16
1169214,abb2x140,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169214/abb2x140,140.0,31990.0,2022-12-16
1169215,abb2x150,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169215/abb2x150,150.0,31990.0,2022-12-16
1169216,abb2x170,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169216/abb2x170,170.0,31990.0,2022-12-16
1169217,abb2x190,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169217/abb2x190,190.0,31990.0,2022-12-16
1169218,abb2x210,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169218/abb2x210,210.0,31990.0,2022-12-16
1169219,abb2x230,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169219/abb2x230,230.0,31990.0,2022-12-16
1169220,abb2x250,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169220/abb2x250,250.0,31990.0,2022-12-16
1169221,abb2x270,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169221/abb2x270,270.0,31990.0,2022-12-16
1169222,abb2x290,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169222/abb2x290,290.0,31990.0,2022-12-16
1169223,abb2x310,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169223/abb2x310,310.0,31990.0,2022-12-16
1169224,abb2x350,,,,,,,,,,https://www.avanza.se/optioner/om-optionen.html/1169224/abb2x350,350.0,31990.0,2022-12-16
